Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
GitHub Copilot : Programmer en binôme avec l'IA,"Les outils de l'intelligence artificielle (IA, ou AI) évoluent très vite et n'ont pas fini de vous impressionner avec leurs capacités à imiter le comportement des humains. Avis aux développeurs, découvrez cette formation sur GitHub Copilot. Vous allez prendre en main cet outil intelligent, paramétré par des millions de lignes de code et capable d'examiner vos fichiers, de corriger les bogues et de coder à votre place. Sandy Ludosky, experte en développement web, vous aide à dépasser vos objectifs de travail en un temps accéléré, aux côtés de votre assistant Copilot, pour naviguer vers le développement du futur.",Course,2023-10-28 10:10 UTC,N/A,false,N/A,
Les 5 risques à éviter lors de développements informatiques,"Le développement de logiciels informatiques est soumis à des contraintes et à un certain nombre de risques qui seront abordés ici par votre formateur : la malfaçon, les délais et le budget impossibles à respecter, l'inadéquation par rapport au marché et la mauvaise gestion des connaissances. Puis, vous vous pencherez sur les solutions et les concepts qui vous aideront à trouver la voie du succès, comme l'agilité, le lean startup et la pratique de l'excellence.
<br>Cette formation a été créée par Benoit Gantaume. Nous sommes ravis d'héberger ce contenu sur notre plateforme. </br>",Course,2022-03-30 13:04 UTC,N/A,false,N/A,
Agile au travail : Planifier avec des user stories agiles		,"Les équipes de projets agiles créent des user stories courtes pour planifier le travail à faire dans les sprints à venir. Dans cette formation, Doug Rose, expert en agilité, vous explique comment rédiger vos user stories et comment les prioriser dans votre backlog. Il vous montre également les principaux écueils à éviter dans la planification de vos projets agiles.",Course,2020-11-21 12:54 UTC,N/A,false,N/A,
Devenir un bon Scrum Master,"Alors que les organisations adoptent des stratégies agiles, elles ont de plus en plus besoin de Scrum Masters. Mais à mesure que ce rôle gagne en importance, un nombre élevé de professionnels ont encore du mal à intégrer les Scrum Masters aux équipes et aux processus existants. Dans cette formation, Brandon Raines explique aux nouveaux Scrum Masters (ou à leurs collaborateurs) comment réussir dans ce rôle. Il présentera les caractéristiques clés qui distinguent les bons Scrum Masters de leurs concurrents. Vous découvrirez comment les bons Scrum Masters guident leurs équipes sur le chemin de la réussite en éliminant les obstacles, en identifiant les causes profondes, en endossant un rôle de coach, et plus encore.",Course,2022-05-12 12:50 UTC,N/A,false,N/A,
Agile au travail : Générer des rapports à l'aide de graphiques et de tableaux,"Les équipes agiles ont besoin d'un moyen léger d'illustrer leur progression. Les rapports agiles devraient être aussi simples que lisibles et diffuser des informations à l'ensemble de l'équipe. Dans cette formation, Doug Rose, expert en agilité, vous apprend à représenter l'avancement de votre projet agile. Il vous montre comment prioriser les tâches dans le backlog produit, mettre à jour le tableau des tâches et contrôler l'état de santé de votre projet à l'aide de burndown charts, des graphiques d'avancement. Vous découvrirez également les pièges courants à éviter, tels que le recyclage et les équipes distribuées.",Course,2022-09-19 08:08 UTC,N/A,false,N/A,
C# : Tests unitaires et développement dirigé par les tests,"Si vous êtes un développeur maîtrisant la programmation objet et le langage C#, suivez cette formation sur les tests unitaires et le développement dirigé par les tests. Avec Sylvain Labasse, vous apprendrez à écrire vos propres tests, à les mutualiser, à les valider et faire en sorte qu'ils soient reproductibles. Vous aborderez également les méthodes et les protocoles TDD (Test-Driven Development) qui vous permettront de maîtriser les problèmes les plus complexes. Au terme de cette formation, vous serez en mesure de mener des tests efficaces au sein de vos projets de développement.",Course,2019-01-25 17:50 UTC,N/A,false,N/A,
L'essentiel de TypeScript 2,"Vous souhaitez améliorer la maîtrise de vos développements JavaScript ? Vous souhaitez en savoir plus sur TypeScript et migrer vers ce langage ? Ce cours est fait pour vous. Elise Patrikainen vous donne les outils indispensables pour réussir vos développements d'applications TypeScript, de A à Z. Étape par étape, vous allez voir comment exploiter le typage statique, maîtriser les étapes de build et de compilation, utiliser des fonctionnalités JavaScript déjà intégrées et structurer votre projet. Ainsi, vous obtiendrez le résultat souhaité, conforme aux standards des librairies et des applications TypeScript.",Course,2021-10-21 08:31 UTC,N/A,false,N/A,
Examen blanc 1 AWS SysOps Administrator-Associate (SOA-C02),"<p> Cet examen pratique est destiné à vous aider à vous préparer à l'examen de certification <b>AWS SysOps Administrator - Associate (SOA-C02)</b>. Lorsque vous aurez ouvert l’examen blanc, vous aurez le choix entre trois modes d’entraînement : chronométré, non chronométré et personnalisé. Chaque mode vous offre un nombre illimité de tentatives, avec des résultats détaillés et des explications des bonnes et mauvaises réponses. Le nombre et le type de questions de l’examen blanc, ainsi que la durée de sa version chronométrée, sont représentatifs des conditions de l'examen de certification. </p>

<p> Cet examen blanc est en anglais. </p>

<p> À propos de la certification : Pour en savoir plus sur cette certification, visitez <a href=""https://aws.amazon.com/fr/certification/certified-sysops-admin-associate/"" target=""_blank"">Amazon Web Services</a>. </p>

<p> Les questions d'entraînement fournies sont représentatives de l'examen de certification, mais ne sont pas les questions réelles que vous verrez lors de l'examen de certification. Les examens blancs sont destinés à l'auto-évaluation. La réussite de cet examen d'entraînement ne garantit pas la réussite de l'examen de certification proprement dit. </p>",Course,2025-07-08 14:37 UTC,N/A,false,N/A,
Favoriser l'inclusion des personnes avec un trouble du spectre de l'autisme (TSA),"Cette formation s’adresse aux professionnels de tous secteurs, notamment aux managers, responsables RH et équipes en contact avec des personnes porteuses de troubles du spectre de l'autisme (TSA). Vous découvrirez comment créer un environnement de travail inclusif, adapté aux spécificités des personnes avec TSA. Vous explorerez les caractéristiques du TSA selon les nomenclatures internationales tout en déconstruisant les idées reçues. La formation mettra également l’accent sur l’adaptation de la communication, l’aménagement des espaces de travail et les pratiques managériales. En définitive, vous contribuerez à instaurer une culture d'inclusion et de bienveillance au sein de vos équipes.",Course,2025-04-15 09:36 UTC,N/A,false,N/A,
Comprendre l'impact des vidéos deep fake,"Imaginez ne pas pouvoir vous fier à ce que vous voyez ou entendez lorsque vous regardez une vidéo en ligne. Les deep fakes sont des médias manipulés, vidéo ou audio, dans lesquels une personne a été remplacée par l'image de quelqu'un d'autre pour faire croire qu'elle a dit ou fait quelque chose qui n'a jamais eu lieu. Les vidéos deep fake utilisent l'intelligence artificielle et peuvent être très convaincantes, même pour un œil exercé. Lorsqu'elles sont utilisées pour tromper le public, les vidéos deep fake peuvent avoir des conséquences désastreuses. Cependant, elles peuvent aussi avoir des avantages, comme offrir des reprises de tournage assistées par l'IA. Dans ce cours d'introduction, notre experte spécialisée dans l'audiovisuel Ashley Kennedy présente les dangers et avantages des vidéos deep fake. Elle donne également une vue d'ensemble de la technologie du deep fake et propose des outils pour identifier les vidéos deep fake, ainsi que des conseils sur la marche à suivre si vous soupçonnez ou repérez une vidéo deep fake.",Course,2022-04-06 14:40 UTC,N/A,false,N/A,
